,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,food,life
688,Bhiwandi,India,0.86,9.83,1.84,1.84,3.99,1.45,0.45,0.18,0.64,0.45,0.88,0.88,5.62,2.7,4.18,1.49,0.42,0.81,0.31,0.25,0.25,0.39,0.37,12.28,1.73,3.45,4.3,0.12,,0.61,0.25,1.35,1.23,16580.38,15966.29,43.91,0.0,9.12,12.28,,1.84,24.09,30.55,39.52,11.05,73.69,61.41,184.23,122.82,995.54,399.16,319.33,7.8,63.5228,
689,Santo Andre,Brazil,5.75,28.74,5.75,1.63,3.64,1.6,0.89,0.51,0.92,1.63,1.24,1.97,8.3,3.9,7.9,1.34,1.1,1.05,2.26,1.15,0.96,0.7,0.54,7.09,1.09,2.87,2.3,0.91,,0.84,0.38,4.79,1.28,19159.29,31133.85,65.97,0.32,21.08,16.19,,5.75,43.49,30.02,65.86,47.9,344.87,210.75,862.17,478.98,1436.95,1149.56,622.68,9.0,117.35350000000001,
691,Osasco,Brazil,5.75,19.16,5.75,1.53,2.3,1.48,0.91,0.48,0.83,1.12,1.15,2.01,7.79,3.96,7.73,1.41,1.28,1.18,1.72,1.21,1.12,0.62,0.48,3.54,1.3,2.2,2.3,0.89,38.32,2.01,0.86,4.79,1.26,22033.18,23757.52,54.28,0.77,20.44,16.6,18.2,4.79,41.19,19.8,57.48,34.97,287.39,186.8,455.03,319.32,1241.52,1031.54,370.41,8.0,106.7813,791.8693266666667
692,Warangal,India,2.46,9.83,3.38,2.15,4.3,1.6,0.37,0.2,0.72,0.53,0.5,0.84,6.75,2.46,5.53,2.15,0.61,0.8,0.43,0.34,0.47,0.55,0.37,11.05,1.84,2.46,4.42,0.34,2.21,0.25,0.36,0.71,1.35,12036.13,22107.17,20.88,0.01,8.6,12.28,12.28,2.15,13.92,12.28,25.79,30.7,55.27,36.85,135.1,98.25,614.09,307.04,307.04,6.67,72.1628,505.15652666666665
693,Dasmarinas,Philippines,3.59,17.94,2.78,1.35,2.47,2.72,0.98,0.53,1.6,1.11,0.89,1.89,5.74,4.58,7.42,2.52,1.69,1.79,1.08,1.08,2.23,1.16,0.45,4.49,1.28,1.73,2.15,0.54,4.49,0.72,0.24,2.15,1.29,27720.47,20992.2,38.91,0.16,17.94,11.42,2.74,6.28,12.56,24.14,72.56,61.71,143.54,70.27,179.42,134.57,776.89,365.36,215.3,7.1,118.3587,593.4084333333334
695,Salem,India,1.23,9.21,4.91,2.76,2.46,2.15,0.43,0.31,0.67,0.48,0.7,0.87,10.23,2.58,5.49,2.66,0.74,1.19,0.31,0.39,0.47,0.43,0.39,6.14,2.25,3.99,3.38,0.25,12.28,0.61,0.18,0.61,1.33,27633.96,30704.4,18.42,0.01,9.83,47.08,6.96,3.44,24.56,28.66,49.13,40.94,118.72,88.02,196.51,163.76,925.4,264.4,276.34,11.57,78.2739,652.2360333333334
696,Latakia,Syria,2.99,10.0,4.04,1.0,2.0,0.94,0.73,0.41,0.75,0.75,1.46,1.48,3.97,2.66,7.27,0.45,0.9,0.2,0.52,0.2,0.25,0.2,0.51,3.0,0.92,1.05,1.91,0.1,14.23,0.6,1.59,3.0,0.5,26000.0,33666.67,13.21,0.01,50.67,10.97,2.0,2.36,18.33,14.33,57.5,53.27,147.5,76.78,253.75,187.5,755.0,316.67,41.25,11.38,80.1217,590.1775266666665
698,General Santos,Philippines,4.04,9.87,2.6,1.12,1.35,2.15,0.31,0.27,1.44,0.9,0.9,1.29,8.97,2.96,6.28,3.59,1.35,2.69,0.45,0.9,1.35,0.81,0.54,6.28,1.09,1.79,2.24,0.16,15.6,0.81,0.22,2.24,1.31,20633.36,20932.39,76.25,0.16,44.86,19.74,5.38,3.23,44.86,15.97,71.77,71.77,143.54,89.71,358.84,179.42,941.96,627.97,269.13,6.5,112.68180000000001,639.50412
700,Hamilton,Canada,14.08,61.14,8.89,5.19,5.56,3.43,1.86,1.28,1.62,2.48,4.13,2.98,13.96,12.79,13.54,4.29,1.49,3.52,3.74,1.68,2.33,1.96,2.11,11.12,1.91,2.62,10.67,2.41,81.53,3.26,1.33,25.73,1.42,20826.31,19615.76,155.17,0.21,61.41,41.03,19.76,13.34,51.65,41.23,76.8,90.58,1193.25,1078.0,1897.34,1835.77,4295.76,4265.05,2816.37,4.62,263.6499,1789.2144133333336
701,Lodz,Poland,5.63,33.81,5.63,2.25,1.8,2.64,1.09,0.75,0.66,0.89,1.03,2.24,5.57,4.58,8.01,0.83,1.17,1.24,1.99,0.64,0.73,0.87,0.49,4.51,0.78,1.26,4.06,0.9,28.4,1.48,0.54,8.11,1.49,18030.0,21587.7,193.54,0.07,13.25,28.32,9.98,6.54,72.39,36.48,64.15,73.18,453.3,401.69,714.1,633.3,2141.06,1746.66,918.92,6.19,94.43560000000002,976.7557666666668
